dataset,scene_id,frame_idx,predicted_confidence,predicted_std,actual_confidence,decision,is_audit_frame,source_json
kitti,2011_09_26_drive_0020_sync,22,0.747472,0.202101,0.894762,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,23,0.746717,0.202801,0.89528,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,24,0.747814,0.202258,0.892622,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,25,0.747413,0.20271,0.900987,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,26,0.761645,0.203025,0.901944,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,27,0.761945,0.202935,0.903827,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,28,0.762133,0.203058,0.901202,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,29,0.762403,0.203016,0.898947,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,30,0.762967,0.202489,0.921067,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,31,0.773112,0.202888,0.918192,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,32,0.773322,0.203041,0.919747,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,33,0.77352,0.203603,0.918563,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,34,0.773747,0.20377,0.914044,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,35,0.785121,0.203337,0.867186,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,36,0.794257,0.203417,0.907507,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,37,0.794056,0.202517,0.903311,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,38,0.794139,0.202656,0.909642,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,39,0.794295,0.203101,0.900586,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,40,0.794144,0.202704,0.912181,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,41,0.805648,0.202397,0.913799,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,42,0.806595,0.20325,0.912624,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,43,0.806623,0.203416,0.911239,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,44,0.806775,0.203726,0.904045,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,45,0.800948,0.203595,0.919104,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,46,0.805786,0.203762,0.918154,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,47,0.805524,0.203439,0.918715,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,48,0.805631,0.203284,0.917811,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,49,0.805688,0.203268,0.921775,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,50,0.80253,0.203013,0.932433,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,51,0.808226,0.203854,0.930934,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,52,0.808114,0.203714,0.934607,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,53,0.807441,0.203273,0.930772,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,54,0.807448,0.203217,0.929281,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,55,0.80041,0.202708,0.928947,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,56,0.805072,0.203034,0.931139,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,57,0.805513,0.203184,0.931733,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,58,0.804291,0.202732,0.929665,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,59,0.806874,0.203753,0.931065,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,60,0.810354,0.203727,0.933665,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,61,0.813416,0.203121,0.932576,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,62,0.81099,0.202512,0.939302,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,63,0.811968,0.202723,0.936451,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,64,0.813398,0.203102,0.921365,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,65,0.797094,0.202464,0.928586,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,66,0.802599,0.202929,0.92492,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,67,0.801626,0.202704,0.927666,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,68,0.802172,0.20285,0.927437,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,69,0.801324,0.20266,0.92099,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,70,0.811526,0.203302,0.936566,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,71,0.818673,0.203372,0.932994,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,72,0.817018,0.203176,0.931746,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,73,0.815048,0.202875,0.932445,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,74,0.815376,0.202881,0.937894,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,75,0.820151,0.20318,0.929878,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,76,0.823086,0.202994,0.926424,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,77,0.823298,0.203036,0.931859,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,78,0.823799,0.203136,0.928344,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,79,0.820322,0.20257,0.923541,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,80,0.810903,0.202418,0.929829,FULL_DETECTION,True,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,81,0.815958,0.202665,0.929886,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,82,0.813215,0.202329,0.929943,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,83,0.816757,0.202819,0.93,FULL_DETECTION,False,output/kitti/kitti_inference.json
kitti,2011_09_26_drive_0020_sync,84,0.813622,0.202394,0.936703,FULL_DETECTION,False,output/kitti/kitti_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,0,0.623871,0.239236,0.750792,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,1,0.652275,0.228152,0.733887,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,2,0.625669,0.231133,0.753396,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,3,0.627002,0.232539,0.751864,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,4,0.642042,0.230864,0.74833,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,5,0.644394,0.229919,0.743632,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,6,0.648516,0.224209,0.749535,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,7,0.641763,0.228088,0.751501,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,8,0.707963,0.231648,0.753058,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,9,0.760918,0.231928,0.735641,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,10,0.703866,0.228446,0.742623,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,11,0.697742,0.222569,0.74343,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,12,0.689499,0.22289,0.742531,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,13,0.741098,0.223386,0.742072,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,14,0.716754,0.222659,0.756999,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,15,0.732112,0.223655,0.739761,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,16,0.701962,0.219012,0.739564,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,17,0.693849,0.219411,0.740356,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,18,0.715832,0.219565,0.736151,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,19,0.73891,0.219852,0.734674,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,20,0.727172,0.219908,0.740742,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,21,0.737571,0.216153,0.736636,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,22,0.706569,0.215937,0.737532,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,23,0.724471,0.216139,0.742213,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,24,0.727591,0.217226,0.746821,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,25,0.717755,0.218074,0.748396,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,26,0.740517,0.214313,0.753982,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,27,0.750196,0.214729,0.757514,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,28,0.757418,0.215159,0.776823,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,29,0.717542,0.215463,0.773595,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,30,0.740538,0.215352,0.779412,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,31,0.716583,0.213567,0.778184,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,32,0.751663,0.214772,0.791365,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,33,0.76672,0.216275,0.798238,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,34,0.707811,0.216382,0.784588,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,35,0.714206,0.216626,0.803312,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,36,0.747536,0.208864,0.805896,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,37,0.758103,0.208907,0.811214,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,38,0.772001,0.209705,0.802364,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,6f83169d067343658251f72e1dd17dbc,39,0.753787,0.209757,0.823872,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,0,0.715478,0.268281,0.883001,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,1,0.789918,0.242393,0.87998,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,2,0.785665,0.246699,0.901976,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,3,0.830672,0.248972,0.863588,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,4,0.809484,0.253828,0.890787,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,5,0.81283,0.256262,0.909789,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,6,0.862467,0.237241,0.882975,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,7,0.837673,0.241281,0.89936,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,8,0.783731,0.233919,0.906645,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,9,0.776225,0.23639,0.905037,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,10,0.789775,0.239763,0.903663,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,11,0.819087,0.219647,0.905791,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,12,0.79626,0.220378,0.897453,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,13,0.836035,0.223157,0.895187,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,14,0.851395,0.222938,0.896067,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,15,0.764557,0.214417,0.905698,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,16,0.702202,0.211429,0.916866,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,17,0.693323,0.211291,0.917196,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,18,0.80976,0.214468,0.926199,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,19,0.833882,0.21536,0.915497,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,20,0.868475,0.215764,0.915859,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,21,0.909014,0.215665,0.917946,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,22,0.968625,0.21827,0.91673,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,23,0.880835,0.216835,0.918814,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,24,0.85372,0.216361,0.936075,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,25,0.834234,0.218302,0.922102,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,26,0.880471,0.214595,0.910337,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,27,0.935003,0.218784,0.901972,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,28,0.92387,0.219585,0.912778,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,29,0.96928,0.218617,0.875654,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,30,0.995058,0.220349,0.873491,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,31,0.839819,0.216767,0.855325,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,32,0.757707,0.214458,0.90286,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,33,0.795681,0.214416,0.901297,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,34,0.821633,0.215011,0.886432,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,35,0.887873,0.217265,0.865067,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,36,0.961743,0.218804,0.874592,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,37,1.0,0.228719,0.856137,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,38,0.91068,0.216801,0.854712,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,bebf5f5b2a674631ab5c88fd1aa9e87a,39,0.929553,0.219022,0.845956,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,0,0.325294,0.282917,0.833026,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,1,0.563288,0.245288,0.832895,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,2,0.573796,0.24543,0.818434,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,3,0.589029,0.246167,0.817782,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,4,0.58838,0.246134,0.786192,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,5,0.577289,0.24517,0.81172,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,6,0.655499,0.230469,0.763944,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,7,0.646099,0.230607,0.805556,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,8,0.642578,0.2304,0.75293,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,9,0.641638,0.229632,0.716731,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,10,0.637824,0.229716,0.716538,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,11,0.655656,0.223165,0.706997,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,12,0.64068,0.223968,0.705799,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,13,0.691024,0.223247,0.687612,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,14,0.66901,0.223991,0.671324,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,15,0.699269,0.223113,0.648359,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,16,0.6979,0.218847,0.621912,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,17,0.665129,0.218875,0.580907,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,18,0.679721,0.218683,0.556185,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,19,0.683204,0.218886,0.585382,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,20,0.651533,0.219321,0.609522,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,21,0.655773,0.215935,0.609844,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,22,0.638845,0.21653,0.636392,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,23,0.654612,0.216235,0.621922,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,24,0.607369,0.216893,0.622298,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,25,0.592689,0.217596,0.604506,FULL_DETECTION,True,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,26,0.587386,0.215558,0.600491,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,27,0.579773,0.216244,0.61923,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,28,0.569421,0.215785,0.635609,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
nuscenes,2fc3753772e241f2ab2cd16a784cc680,29,0.575928,0.215495,0.618429,FULL_DETECTION,False,output/nuscenes/nuscenes_inference.json
